,id_add,name,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,host_id_times,date,available
0,6369,"Rooftop terrace room ,  ensuite bathroom",13660,Chamartín,Hispanoamérica,40.45724,-3.67688,Private room,60,1,1,2021-09-25,f
1,21853,Bright and airy room,83531,Latina,Cármenes,40.40381,-3.7413,Private room,31,4,2,2021-12-24,t
2,23001,Apartmento Arganzuela- Madrid Rio,82175,Arganzuela,Legazpi,40.3884,-3.69511,Entire home/apt,50,15,7,2021-09-18,t
3,24805,Gran Via Studio Madrid,346366726,Centro,Universidad,40.42183,-3.70529,Entire home/apt,92,5,1,2021-09-10,t
4,26825,Single Room whith private Bathroom,114340,Arganzuela,Legazpi,40.38975,-3.69018,Private room,26,2,1,2021-04-20,f
5,28200,Apartamento Arganzuela Planetario,82175,Arganzuela,Legazpi,40.3886,-3.69492,Entire home/apt,85,1,7,2021-06-27,t
6,30320,Great Vacational Apartments,130907,Centro,Sol,40.41476,-3.70418,Entire home/apt,65,5,3,2022-03-13,f
7,30959,Beautiful loft in Madrid Center,132883,Centro,Embajadores,40.41259,-3.70105,Entire home/apt,54,3,1,2022-04-10,f
8,37859,"PISO, OPERA, MADRID, GRANDE",162701,Centro,Palacio,40.41844,-3.71073,Entire home/apt,1400,3,3,2022-01-05,f
9,40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Centro,Justicia,40.41969,-3.69736,Entire home/apt,79,3,11,2021-12-24,f
10,40916,Holiday Apartment Madrid Center,130907,Centro,Universidad,40.42247,-3.70577,Entire home/apt,90,5,3,2022-01-06,f
11,47957,"Amazing Apartment, Salamanca Distri",218515,Salamanca,Goya,40.42792,-3.67682,Entire home/apt,82,10,2,2022-02-13,t
12,59923,Habitación para féminas en el centro de Madrid,288380,Centro,Palacio,40.42103,-3.71038,Private room,40,1,1,2021-04-25,t
13,62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Centro,Justicia,40.41884,-3.69655,Private room,24,1,2,2022-04-11,f
14,64131,Habitación Metro Lacoma,313365,Fuencarral - El Pardo,Peñagrande,40.48543,-3.72318,Private room,21,2,2,2021-08-08,t
15,70059,Tu hogar en centro de Madrid.,353616,Centro,Universidad,40.42381,-3.71038,Entire home/apt,51,5,1,2022-01-15,t
16,70316,Superbly located Monthly rental Bills Incl.,353738,Centro,Palacio,40.42191,-3.71038,Entire home/apt,75,28,1,2021-06-11,t
17,72150,Sunny attic duplex flat with terrace next to Sol,364585,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,139,2,5,2021-04-26,t
